"Action Date","Submission","Supplement Categories or Approval Type","Letters, Reviews, Labels,Patient Package Insert","Note","Url"
"04/18/2024","SUPPL-14","Labeling-Package Insert","Label (PDF)","","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/210192s014lbl.pdf"
"10/07/2022","SUPPL-13","Labeling-Package Insert","Label (PDF)","","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/210192s013lbl.pdf"
"07/09/2021","SUPPL-11","Efficacy-Labeling Change With Clinical Data","Label (PDF)","","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/210192s011lbl.pdf"
"03/23/2021","SUPPL-12","Labeling-Package Insert","Label (PDF)","","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/210192s012lbl.pdf"
"03/23/2021","SUPPL-12","Labeling-Patient Package Insert","Label (PDF)","","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/210192s012lbl.pdf"
"07/14/2020","SUPPL-7","Efficacy-Labeling Change With Clinical Data","Label (PDF)","","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/210192s007lbl.pdf"
"10/24/2019","SUPPL-8","Labeling-Patient Package Insert","Label (PDF)","","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/210192s008lbl.pdf"
"10/24/2019","SUPPL-8","Labeling-Package Insert","Label (PDF)","","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/210192s008lbl.pdf"
"09/06/2018","SUPPL-4","Labeling-Package Insert","Label (PDF)","","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/210192s002s004lbl.pdf"
"09/06/2018","SUPPL-2","Labeling-Package Insert","Label (PDF)","","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/210192s002s004lbl.pdf"
"01/17/2018","SUPPL-1","Labeling-Package Insert","Label (PDF)","","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/210192s001lbl.pdf"
"01/17/2018","SUPPL-1","Labeling-Patient Package Insert","Label (PDF)","","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/210192s001lbl.pdf"
"11/21/2017","ORIG-1","Approval","Label (PDF)","","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/210192s000lbl.pdf"
